Laptop Name,Refresh Rate,RAM,Storage,Battery,CPU
Lenovo IdeaPad Slim 3i Chromebook 14 (2023),60 Hz,8 GB,128 GB,56 Wh,Intel Core i3-N305 with Core Count 8
"Apple MacBook Pro 14 (M3, 2023)",120 Hz,18 GB,512 GB,72 Wh,Apple M3 Pro with Core Count 11
HP Pavilion Aero 13 (2024),60 Hz,16 GB,512 GB,43 Wh,AMD Ryzen 5 8640U with Core Count 6
ASUS Vivobook 16 M1605 (2023),60 Hz,8 GB,512 GB,42 Wh,AMD Ryzen 5 7530U with Core Count 6
HP Spectre x360 14 (2024),120 Hz,16 GB,512 GB,68 Wh,Intel Core Ultra 5 125H with Core Count 14
Microsoft Surface Pro 8 (2021),120 Hz,16 GB,256 GB,50 Wh,Intel Core i7-1185G7 with Core Count 4
Apple MacBook Air 15 (2024),60 Hz,8 GB,256 GB,67 Wh,Apple M3 with Core Count 8
Apple MacBook Air 13 (2024),60 Hz,8 GB,256 GB,53 Wh,Apple M3 with Core Count 8
ASUS TUF Gaming A16 Advantage Edition (2023),165 Hz,16 GB,"1,000 GB",90 Wh,AMD Ryzen 7 7735HS with Core Count 8
Acer Chromebook Spin 714 (2022),60 Hz,8 GB,256 GB,56 Wh,Intel Core i5-1235U with Core Count 10
Lenovo IdeaPad Slim 3i 15 (2023),60 Hz,8 GB,512 GB,46 Wh,Intel Core i3-1315U with Core Count 6
Lenovo Chromebook Duet 5 (2021),60 Hz,4 GB,64 GB,42 Wh,Qualcomm Snapdragon SC7180 with Core Count 8
ASUS ROG Zephyrus G14 (2024),120 Hz,16 GB,"1,000 GB",73 Wh,AMD Ryzen 9 8945HS with Core Count 8
Dell XPS 16 (2024),90 Hz,32 GB,"1,000 GB",100 Wh,Intel Core Ultra 9 185H with Core Count 16
Lenovo Yoga 7i 16 (2023),60 Hz,16 GB,512 GB,71 Wh,Intel Core i5-1340P with Core Count 12
Lenovo LOQ 15 (2023),144 Hz,16 GB,"1,000 GB",60 Wh,AMD Ryzen 7 7840HS with Core Count 8
Dell Alienware m18 R2 (2024),480 Hz,32 GB,"1,000 GB",97 Wh,Intel Core i9-14900HX with Core Count 24
Lenovo Chromebook Duet 3 (2022),60 Hz,8 GB,64 GB,29 Wh,Qualcomm Snapdragon 7c Gen 2 with Core Count 8
Microsoft Surface Go 3 (2021),60 Hz,8 GB,128 GB,27 Wh,Intel Core i3-10100Y with Core Count 2
Acer Chromebook 516 GE (2022),120 Hz,8 GB,256 GB,63 Wh,Intel Core i5-1240P with Core Count 12
Lenovo Yoga 6 13 (2023),60 Hz,8 GB,256 GB,59 Wh,AMD Ryzen 5 7530U with Core Count 6
Lenovo Legion Pro 5 Gen 8 16 (2023),165 Hz,16 GB,512 GB,78 Wh,AMD Ryzen 5 7645HX with Core Count 6
Acer Chromebook 315 (2020),60 Hz,4 GB,32 GB,47 Wh,Intel Celeron N4020 with Core Count 2
Apple MacBook Air 13 (2022),60 Hz,8 GB,256 GB,53 Wh,Apple M2 with Core Count 8
Lenovo ThinkPad P1 Gen 7 (2024),165 Hz,32 GB,"1,000 GB",90 Wh,Intel Core Ultra 7 165H with Core Count 16
Microsoft Surface Pro 11th Edition (2024),120 Hz,16 GB,512 GB,51 Wh,Qualcomm Snapdragon X Elite X1E80100 with Core Count 12
Dell XPS 13 (2024),60 Hz,32 GB,"1,000 GB",55 Wh,Intel Core Ultra 7 155H with Core Count 16
Acer Chromebook Plus Spin 714 (2024),60 Hz,8 GB,256 GB,53 Wh,Intel Core Ultra 5 115U with Core Count 8
"Apple MacBook Pro 16 (M3, 2023)",120 Hz,48 GB,"1,000 GB",100 Wh,Apple M3 Max with Core Count 16
Lenovo ThinkPad X1 Carbon Gen 11 (2023),60 Hz,32 GB,512 GB,56 Wh,Intel Core i7-1365U with Core Count 10
HP Victus 15 (2022),144 Hz,16 GB,512 GB,70 Wh,Intel Core i5-12500H with Core Count 12
Lenovo IdeaPad 3 15 (2021),60 Hz,8 GB,512 GB,45 Wh,AMD Ryzen 3 5300U with Core Count 4
Acer Swift 3 14 (2022),90 Hz,8 GB,512 GB,56 Wh,Intel Core i5-12500H with Core Count 12
Microsoft Surface Laptop 5 (2022),60 Hz,16 GB,512 GB,46 Wh,Intel Core i7-1255U with Core Count 10
Lenovo Slim Pro 7 14 (2023),90 Hz,16 GB,512 GB,73 Wh,AMD Ryzen 7 7735HS with Core Count 8
